key,ort
08335001,Aach
08136088,Aalen
08125001,Abstatt
08136002,Abtsgmünd
08436001,Achberg
08317001,Achern
08426001,Achstetten
08117001,Adelberg
08136003,Adelmannsfelden
08225001,Adelsheim
08118001,Affalterbach
08225002,Aglasterhausen
08128138,Ahorn
08117002,Aichelberg
08325001,Aichhalden
08436003,Aichstetten
08116081,Aichtal
08116076,Aichwald
08115001,Aidlingen
08336004,Aitern
08436004,Aitrach
08337002,Albbruck
08117003,Albershausen
08417079,Albstadt
08327002,Aldingen
08119001,Alfdorf
08335002,Allensbach
08426005,Alleshausen
08426006,Allmannsweiler
08425002,Allmendingen
08119003,Allmersbach im Tal
08237002,Alpirsbach
08116004,Altbach
08115002,Altdorf
08116005,Altdorf
08116006,Altenriet
08235006,Altensteig
08426008,Altheim
08425004,Altheim
08425005,Altheim (Alb)
08235007,Althengstett
08119004,Althütte
08226003,Altlußheim
08436005,Altshausen
08416048,Ammerbuch
08425008,Amstetten
08436006,Amtzell
08226102,Angelbachtal
08317005,Appenweier
08436094,Argenbühl
08119087,Aspach
08118003,Asperg
08128006,Assamstadt
08425011,Asselfingen
08426011,Attenweiler
08315003,Au
08216002,Au am Rhein
08119006,Auenwald
08315004,Auggen
08436008,Aulendorf
08119008,Backnang
08336006,Bad Bellingen
08117012,Bad Boll
08426013,Bad Buchau
08117006,Bad Ditzenbach
08326003,Bad Dürrheim
08125005,Bad Friedrichshall
08235033,Bad Herrenalb
08315006,Bad Krozingen
08235008,Bad Liebenzell
08128007,Bad Mergentheim
08317008,Bad Peterstal-Griesbach
08125006,Bad Rappenau
08237075,Bad Rippoldsau-Schapbach
08437100,Bad Saulgau
08426014,Bad Schussenried
08215100,Bad Schönborn
08337096,Bad Säckingen
08235084,Bad Teinach-Zavelstein
08415078,Bad Urach
08436009,Bad Waldsee
08235079,Bad Wildbad
08125007,Bad Wimpfen
08436010,Bad Wurzach
08117007,Bad Überkingen
08211000,Baden-Baden
08315007,Badenweiler
08316002,Bahlingen am Kaiserstuhl
08436011,Baienfurt
08237004,Baiersbronn
08436012,Baindt
08327005,Balgheim
08417002,Balingen
08425013,Ballendorf
08315008,Ballrechten-Dottingen
08116007,Baltmannsweiler
08425140,Balzheim
08226006,Bammental
08136007,Bartholomä
08125008,Beilstein
08425014,Beimerstetten
08116008,Bempflingen
08118006,Benningen am Neckar
08436013,Berg
08436014,Bergatreute
08317009,Berghaupten
08425017,Berghülen
08119089,Berglen
08426019,Berkheim
08435005,Bermatingen
08337013,Bernau im Schwarzwald
08425019,Bernstadt
08118007,Besigheim
08426020,Betzenweiler
08116011,Beuren
08437005,Beuron
08317011,Biberach
08426021,Biberach an der Riß
08316003,Biederbach
08216005,Bietigheim
08118079,Bietigheim-Bissingen
08225009,Billigheim
08225010,Binau
08437008,Bingen
08336008,Binzen
08117009,Birenbach
08236004,Birkenfeld
08216006,Bischweier
08417008,Bisingen
08116012,Bissingen an der Teck
08417010,Bitz
08425020,Blaubeuren
08127008,Blaufelden
08425141,Blaustein
08326005,Blumberg
08416006,Bodelshausen
08335098,Bodman-Ludwigshafen
08436018,Bodnegg
08315014,Bollschweil
08436019,Boms
08115004,Bondorf
08337022,Bonndorf im Schwarzwald
08136010,Bopfingen
08128014,Boxberg
08125013,Brackenheim
08127009,Braunsbach
08315015,Breisach am Rhein
08425024,Breitingen
08315016,Breitnau
08215007,Bretten
08126011,Bretzfeld
08326075,Brigachtal
08215009,Bruchsal
08326006,Bräunlingen
08226009,Brühl
08327007,Bubsheim
08225014,Buchen (Odenwald)
08315020,Buchenbach
08327008,Buchheim
08315022,Buggingen
08426028,Burgrieden
08119018,Burgstetten
08417013,Burladingen
08327004,Bärenthal
08136009,Böbingen an der Rems
08115003,Böblingen
08117010,Böhmenkirch
08118010,Bönnigheim
08425022,Börslingen
08117011,Börtlingen
08325009,Bösingen
08327006,Böttingen
08315013,Bötzingen
08216007,Bühl
08216008,Bühlertal
08127012,Bühlertann
08127013,Bühlerzell
08335015,Büsingen am Hochrhein
08235085,Calw
08125017,Cleebronn
08127014,Crailsheim
08128020,Creglingen
08337027,Dachsberg (Südschwarzwald)
08435010,Daisendorf
08326010,Dauchingen
08417014,Dautmergen
08115010,Deckenpfronn
08435067,Deggenhausertal
08117014,Deggingen
08327009,Deilingen
08116014,Deizisau
08325072,Deißlingen
08116015,Denkendorf
08327010,Denkingen
08316009,Denzlingen
08416009,Dettenhausen
08215111,Dettenheim
08337030,Dettighofen
08415014,Dettingen an der Erms
08426031,Dettingen an der Iller
08116016,Dettingen unter Teck
08226010,Dielheim
08425028,Dietenheim
08325011,Dietingen
08135010,Dischingen
08118011,Ditzingen
08235018,Dobel
08337032,Dogern
08326012,Donaueschingen
08117015,Donzdorf
08417015,Dormettingen
08325012,Dornhan
08425031,Dornstadt
08237019,Dornstetten
08226012,Dossenheim
08417016,Dotternhausen
08117016,Drackenstein
08325014,Dunningen
08317021,Durbach
08327012,Durchhausen
08136015,Durlangen
08216009,Durmersheim
08416011,Dußlingen
08126020,Dörzbach
08327011,Dürbheim
08426035,Dürmentingen
08117017,Dürnau
08426036,Dürnau
08436024,Ebenweiler
08226013,Eberbach
08118012,Eberdingen
08426038,Eberhardzell
08117018,Ebersbach an der Fils
08436093,Ebersbach-Musbach
08125021,Eberstadt
08235020,Ebhausen
08315028,Ebringen
08226105,Edingen-Neckarhausen
08336014,Efringen-Kirchen
08235022,Egenhausen
08327013,Egesheim
08215102,Eggenstein-Leopoldshafen
08337124,Eggingen
08425033,Ehingen (Donau)
08115013,Ehningen
08315131,Ehrenkirchen
08436027,Eichstegen
08315030,Eichstetten am Kaiserstuhl
08335021,Eigeltingen
08336019,Eimeldingen
08315031,Eisenbach (Hochschwarzwald)
08236011,Eisingen
08117019,Eislingen/Fils
08216012,Elchesheim-Illingen
08136018,Ellenberg
08125024,Ellhofen
08136019,Ellwangen (Jagst)
08316010,Elzach
08225117,Elztal
08425035,Emeringen
08425036,Emerkingen
08316011,Emmendingen
08327057,Emmingen-Liptingen
08237024,Empfingen
08316012,Endingen am Kaiserstuhl
08236013,Engelsbrand
08335022,Engen
08415089,Engstingen
08415019,Eningen unter Achalm
08235025,Enzklösterle
08226017,Epfenbach
08325015,Epfendorf
08226018,Eppelheim
08125026,Eppingen
08425039,Erbach
08118014,Erdmannhausen
08435013,Eriskirch
08116018,Erkenbrechtsweiler
08125027,Erlenbach
08426043,Erlenmoos
08118015,Erligheim
08426044,Erolzheim
08426045,Ertingen
08136020,Eschach
08315033,Eschbach
08325071,Eschbronn
08226020,Eschelbronn
08117020,Eschenbach
08136021,Essingen
08116019,Esslingen am Neckar
08317026,Ettenheim
08215017,Ettlingen
08237027,Eutingen im Gäu
08225024,Fahrenbach
08315037,Feldberg (Schwarzwald)
08119020,Fellbach
08127102,Fichtenau
08127023,Fichtenberg
08116077,Filderstadt
08317029,Fischerbach
08336024,Fischingen
08125030,Flein
08436032,Fleischwangen
08325070,Fluorn-Winzeln
08216013,Forbach
08316013,Forchheim
08126028,Forchtenberg
08215021,Forst
08127103,Frankenhardt
08316054,Freiamt
08118078,Freiberg am Neckar
08311000,Freiburg im Breisgau
08128039,Freudenberg
08237028,Freudenstadt
08118016,Freudental
08116020,Frickenhausen
08435015,Frickingen
08327016,Fridingen an der Donau
08315039,Friedenweiler
08435016,Friedrichshafen
08317031,Friesenheim
08236019,Friolzheim
08327017,Frittlingen
08436096,Fronreute
08336025,Fröhnd
08326017,Furtwangen im Schwarzwald
08216015,Gaggenau
08226022,Gaiberg
08335025,Gaienhofen
08127025,Gaildorf
08335026,Gailingen am Hochrhein
08117023,Gammelshausen
08437031,Gammertingen
08235029,Gechingen
08327018,Geisingen
08417022,Geislingen
08117024,Geislingen an der Steige
08125034,Gemmingen
08118018,Gemmrigheim
08317034,Gengenbach
08127032,Gerabronn
08118019,Gerlingen
08216017,Gernsbach
08135015,Gerstetten
08135016,Giengen an der Brenz
08117025,Gingen an der Fils
08237030,Glatten
08315041,Glottertal
08415027,Gomadingen
08416015,Gomaringen
08215025,Gondelsheim
08327019,Gosheim
08315043,Gottenheim
08335028,Gottmadingen
08215099,Graben-Neudorf
08415028,Grabenstetten
08115054,Grafenau
08415029,Grafenberg
08337039,Grafenhausen
08336105,Grenzach-Wyhlen
08425050,Griesingen
08417023,Grosselfingen
08116022,Großbettlingen
08118021,Großbottwar
08119024,Großerlach
08128045,Großrinderfeld
08117028,Gruibingen
08425052,Grundsheim
08237032,Grömbach
08436039,Grünkraut
08128047,Grünsfeld
08136027,Gschwend
08436040,Guggenhausen
08315047,Gundelfingen
08125039,Gundelsheim
08327020,Gunningen
08317039,Gutach (Schwarzwaldbahn)
08316014,Gutach im Breisgau
08426135,Gutenzell-Hürbel
08115015,Gärtringen
08115016,Gäufelden
08136024,Göggingen
08117026,Göppingen
08337038,Görwihl
08125038,Güglingen
08326020,Gütenbach
08435018,Hagnau am Bodensee
08417025,Haigerloch
08235032,Haiterbach
08215029,Hambrücken
08225032,Hardheim
08325024,Hardt
08125111,Hardthausen am Kocher
08315048,Hartheim am Rhein
08336034,Hasel
08317040,Haslach im Kinzigtal
08117029,Hattenhofen
08317041,Hausach
08425055,Hausen am Bussen
08417029,Hausen am Tann
08336036,Hausen im Wiesental
08327023,Hausen ob Verena
08415034,Hayingen
08225033,Haßmersheim
08417031,Hechingen
08226027,Heddesbach
08226028,Heddesheim
08221000,Heidelberg
08135019,Heidenheim an der Brenz
08121000,Heilbronn
08435020,Heiligenberg
08226029,Heiligkreuzsteinach
08236025,Heimsheim
08117030,Heiningen
08315050,Heitersheim
08226106,Helmstadt-Bargen
08118027,Hemmingen
08226031,Hemsbach
08437044,Herbertingen
